Company_Name,Category,M_Name,URL
abcgasinternational,metalsnonferrous,ABC Gas,http://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/abcgasinternational/BE05
abcindia,transportlogistics,ABC India,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/abcindia/ABC
abcoplastics,plastics,Abco Plastic,http://www.moneycontrol.com/india/stockpricequote/plastics/abcoplastics/AP17
abeeprinterribbons,computershardware,Abee Printer,http://www.moneycontrol.com/india/stockpricequote/computershardware/abeeprinterribbons/APR01
abgshipyard,shipping,ABG Shipyard,http://www.moneycontrol.com/india/stockpricequote/shipping/abgshipyard/ABG01
abhijittradingcompany,miscellaneous,Abhijit Trading,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/abhijittradingcompany/ATC01
abhinavcapitalservices,financegeneral,Abhinav Capital,http://www.moneycontrol.com/india/stockpricequote/financegeneral/abhinavcapitalservices/ACS04
abhinavleasingfinance,financeleasinghirepurchase,Abhinav Leasing,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/abhinavleasingfinance/ALF03
abhishekcorporation,textilesspinningcottonblended,Abhishek Corp,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/abhishekcorporation/AC22
abhishekfinlease,financeleasinghirepurchase,Abhishek Finle,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/abhishekfinlease/AF32
abhishekinfraventures,infrastructuregeneral,Abhishek Infra,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abhishekinfraventures/AI73
abiramifinancialservicesindia,financeleasinghirepurchase,Abirami Finance,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/abiramifinancialservicesindia/AFS
ablbiotechnologies,pharmaceuticals,ABL Biotech,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ablbiotechnologies/ABL
abminternational,miscellaneous,ABM Inter,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/abminternational/ABM02
abmknowledgeware,computerssoftwaremediumsmall,ABM Knowledg,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/abmknowledgeware/ABM
abngranites,ceramicsgranite,ABN Granites,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/abngranites/ABN
abnerpharma,pharmaceuticals,Abner Pharma,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abnerpharma/AP01
abslbanetf,miscellaneous,ABSLBANETF,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/abslbanetf/ABSLB13987
abslnn50et,miscellaneous,ABSLNN50ET,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/abslnn50et/ABSLN7339
acc,cementmajor,ACC,http://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06
accel,computershardware,Accel,http://www.moneycontrol.com/india/stockpricequote/computershardware/accel/AT17
accelyakalesolutions,computerssoftwaremediumsmall,Accelya Kale,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/accelyakalesolutions/KAL
accentiatechnologies,computerssoftwaremediumsmall,Accentia Techno,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/accentiatechnologies/AT19
acclaimindustries,packaging,Acclaim Ind,http://www.moneycontrol.com/india/stockpricequote/packaging/acclaimindustries/EP12
accordsynergy,telecommunicationsservice,Accord Synergy,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/accordsynergy/AS22
accuracyshipping,shipping,Accuracy Shippi,http://www.moneycontrol.com/india/stockpricequote/shipping/accuracyshipping/AS26
